BugID,Bug ID Link,Vulnerability ID,Changeset ID
1073952,https://hg.mozilla.org/mozilla-central/rev/461141e9b3c9,CVE-2017-7788,461141e9b3c92aae1a79bc5e492ec49629cc81a2
1073952,https://hg.mozilla.org/mozilla-central/rev/bf127c7f5a9b,CVE-2017-7788,bf127c7f5a9ba62c0d86b63421c73cdc7d066893
1074280,https://hg.mozilla.org/mozilla-central/rev/d927d3102472,CVE-2014-1594,d927d3102472c93c35a94d57a675e15eca1176e9
1074642,https://hg.mozilla.org/mozilla-central/rev/0f8ae1c5e282,CVE-2017-7789,0f8ae1c5e282e0c823262f85d5a9d4bb6c400dc1
1079554,https://hg.mozilla.org/mozilla-central/rev/872fa257eee2,CVE-2015-0819,872fa257eee29a14196972a8122070883251e774
1079658,https://hg.mozilla.org/mozilla-central/rev/acef7c16e3f1,CVE-2014-8642,acef7c16e3f160d5e7f7c979e6e56973d3342786
1079658,https://hg.mozilla.org/mozilla-central/rev/6b70e15bc452,CVE-2014-8642,6b70e15bc452b66f4f5327f56fc3ec5052356e74
1080987,https://hg.mozilla.org/mozilla-central/rev/6f7c93a5f71f,CVE-2014-8638,6f7c93a5f71f8f1693f6a824944f5b93ba2667b5
1080987,https://hg.mozilla.org/mozilla-central/rev/d90fcdb1eb71,CVE-2014-8638,d90fcdb1eb71b3d416d523b798924d8b5c7d316e
1080995,https://hg.mozilla.org/mozilla-central/rev/8c716f35d9ec,CVE-2015-0797,8c716f35d9eca5e07a4b1cff8ea0ca352e48d022
1085175,https://hg.mozilla.org/mozilla-central/rev/d829a27e089a,CVE-2014-1593,d829a27e089a856948731ddbb4fd2b23ecf48887
1086999,https://hg.mozilla.org/mozilla-central/rev/3aaf3cccabac,CVE-2015-4490,3aaf3cccabac25ba12756e4c20742d2c24816725
1086999,https://hg.mozilla.org/mozilla-central/rev/c683f8d5426d,CVE-2015-4490,c683f8d5426dec3bd4fcc0d680794e6968e8450f
1086999,https://hg.mozilla.org/mozilla-central/rev/a8aa222f1d01,CVE-2015-4490,a8aa222f1d01b25411ec29f744e1269a2c04ce54
1086999,https://hg.mozilla.org/mozilla-central/rev/183190289b9c,CVE-2015-4490,183190289b9c69fff9812491924005f2c1e8fbc9
1087565,https://hg.mozilla.org/mozilla-central/rev/2cb85f5cadab,CVE-2011-3079,2cb85f5cadab1281fa3f7dfaa1e0f4ca820dbe13
1087633,https://hg.mozilla.org/mozilla-central/rev/dad61f719326,CVE-2014-1590,dad61f719326df13c000755aa0590189e93df2dc
1088635,https://hg.mozilla.org/mozilla-central/rev/e066f112521a,CVE-2014-1592,e066f112521a0dfaab1e65b3d6f33d30cf9b3931
1092363,https://hg.mozilla.org/mozilla-central/rev/ed9225015e22,CVE-2015-0826,ed9225015e22ca0fd977468ee8b60b51e2d2bb6b
1092370,https://hg.mozilla.org/mozilla-central/rev/a1961f96d4a7,CVE-2015-0825,a1961f96d4a7f199a0745370b9129f9785038e66
1092855,https://hg.mozilla.org/mozilla-central/rev/9a33d0207b18,CVE-2014-1595,9a33d0207b18ec920e6ca4eaa9fb1a6a13ec5052
1095925,https://hg.mozilla.org/mozilla-central/rev/c38c0e99ea32,CVE-2015-0824,c38c0e99ea32f5ddb29382e7d156185924220c41
1098314,https://hg.mozilla.org/mozilla-central/rev/f9e8ae3213d2,CVE-2015-0834,f9e8ae3213d2a722ee0fd55bc52699f6ab374878
1098497,https://hg.mozilla.org/mozilla-central/rev/47f88e6ae34c,CVE-2015-0823,47f88e6ae34c7d62f30231ca5637c95360cb491a
1100409,https://hg.mozilla.org/mozilla-central/rev/bbe24bcf277e,CVE-2014-8640,bbe24bcf277e0d8956b9e71cecf2762464da8306
